label,program,workload,n,mean,std,sem,ci95
guest,cpu,200000,10,0.2814778042,0.012867320106363858,0.004069003891858984,0.007975247628043608
guest,io,10000,10,0.9819962584,0.07460786430025909,0.023593078254958325,0.04624243337971832
native,cpu,200000,10,0.2747325251,0.0004942346445912987,0.00015629071754723225,0.0003063298063925752
native,io,10000,10,0.1611238167,0.0032804056271424397,0.001037355343100318,0.002033216472476623
