label,program,workload,n,mean,std,sem,ci95
guest,io,10000,10,0.9819962584,0.07460786430025909,0.023593078254958325,0.04624243337971832
native,io,10000,10,0.1611238167,0.0032804056271424397,0.001037355343100318,0.002033216472476623
