timestamp_utc,label,program,workload,trial,seconds,result,python_version,machine,system
2026-06-24T05:16:56.416368+00:00,guest,io,10000,1,0.926618750,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,2,0.927627750,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,3,0.975322625,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,4,1.001017875,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,5,1.040708084,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,6,1.148392208,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,7,1.013049625,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,8,0.974051417,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,9,0.898437250,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:16:56.416368+00:00,guest,io,10000,10,0.914737000,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,1,0.156674000,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,2,0.160778417,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,3,0.158730000,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,4,0.159494042,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,5,0.161041041,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,6,0.164271708,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,7,0.157679167,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,8,0.165335708,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,9,0.160737042,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T05:23:49.540714+00:00,native,io,10000,10,0.166497042,640000,3.10.18,arm64,Darwin 25.5.0
